epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6463,3.52691,4.10691,1.89694,0.01081,0.6185,0.01068,0.00323,1.7699,3.79845,1.0193,0.00016,0.00016,0.00016
2,39.0809,1.39951,1.93685,0.90093,0.01737,0.99422,0.03703,0.02202,0.95666,3.04944,0.82294,0.000338317,0.000338317,0.000338317
3,46.2323,0.99509,0.9217,0.85626,0.01677,0.95954,0.0321,0.02291,0.92344,2.89576,0.8287,0.000514852,0.000514852,0.000514852
4,52.9617,0.90686,0.77338,0.827,0.01687,0.96532,0.87164,0.59438,0.87541,2.7174,0.82034,0.000689605,0.000689605,0.000689605
5,58.2683,0.80996,0.66841,0.82547,0.01677,0.95954,0.30273,0.18278,0.8043,2.72041,0.81564,0.000862576,0.000862576,0.000862576
6,63.2194,0.79061,0.62661,0.81331,1,0.47345,0.95559,0.69299,0.78136,2.29097,0.80682,0.00103377,0.00103377,0.00103377
7,68.5463,0.76439,0.60986,0.80711,1,0.71074,0.95541,0.62481,0.77478,2.08884,0.808,0.00120317,0.00120317,0.00120317
8,72.5232,0.76902,0.56662,0.8167,1,0.85513,0.95586,0.6928,0.74629,1.70093,0.80173,0.0013708,0.0013708,0.0013708
9,76.5917,0.76595,0.56844,0.81195,0.99838,0.95954,0.95541,0.70311,0.75425,1.31256,0.80712,0.00153664,0.00153664,0.00153664
10,81.3368,0.79524,0.56231,0.81736,0.99821,0.95954,0.95541,0.7195,0.80642,1.29737,0.82252,0.0017007,0.0017007,0.0017007
11,84.3208,0.77486,0.53892,0.82113,0.99703,0.95954,0.95541,0.6817,0.82683,1.2453,0.82317,0.00186298,0.00186298,0.00186298
12,87.4558,0.76584,0.51789,0.81439,0.99803,0.95954,0.95541,0.73505,0.80268,0.88295,0.8198,0.0018911,0.0018911,0.0018911
13,91.1081,0.74802,0.49433,0.81592,0.99884,0.95954,0.95541,0.72929,0.79158,0.73071,0.81237,0.0018812,0.0018812,0.0018812
14,93.3207,0.73453,0.47553,0.81054,1,0.9586,0.9651,0.77179,0.71843,0.56728,0.81129,0.0018713,0.0018713,0.0018713
15,95.8469,0.71571,0.47902,0.81187,0.99994,0.95954,0.96522,0.77449,0.77008,0.49016,0.81733,0.0018614,0.0018614,0.0018614
16,97.968,0.77129,0.49059,0.81647,0.99934,0.95954,0.95608,0.76065,0.71014,0.60001,0.81058,0.0018515,0.0018515,0.0018515
17,100.594,0.73208,0.46987,0.81073,0.99916,0.95954,0.95578,0.79544,0.6893,0.41812,0.80734,0.0018416,0.0018416,0.0018416
18,103.552,0.73036,0.47503,0.80556,1,0.95948,0.95551,0.79959,0.67749,0.45117,0.80717,0.0018317,0.0018317,0.0018317
19,106.082,0.73528,0.47119,0.81625,1,0.95915,0.95547,0.77913,0.71089,0.40446,0.81151,0.0018218,0.0018218,0.0018218
20,108.175,0.70129,0.45272,0.81337,0.99944,0.95954,0.95551,0.80207,0.65122,0.4078,0.80269,0.0018119,0.0018119,0.0018119
21,111.259,0.68301,0.42933,0.79976,0.99919,0.95954,0.9593,0.80828,0.6562,0.41331,0.8011,0.001802,0.001802,0.001802
22,115.21,0.65664,0.41936,0.80346,0.99909,0.95954,0.96104,0.81503,0.622,0.39999,0.79518,0.0017921,0.0017921,0.0017921
23,117.589,0.66607,0.41181,0.79837,0.99944,0.95954,0.95567,0.75336,0.67894,0.39459,0.80571,0.0017822,0.0017822,0.0017822
24,120.551,0.67531,0.41408,0.80076,0.99935,0.95954,0.95745,0.79855,0.65536,0.39166,0.80112,0.0017723,0.0017723,0.0017723
25,122.476,0.68652,0.40864,0.80833,0.99949,0.95954,0.97677,0.80788,0.64641,0.36818,0.80119,0.0017624,0.0017624,0.0017624
26,125.141,0.64834,0.39551,0.799,0.9996,0.95954,0.96956,0.80334,0.678,0.38871,0.80156,0.0017525,0.0017525,0.0017525
27,127.404,0.64917,0.39553,0.80062,0.99959,0.95954,0.96972,0.81165,0.62725,0.37751,0.79723,0.0017426,0.0017426,0.0017426
